Idioms,Meanings
Като муха без глава,to wander around aimlessly (like a headless fly)
Вали като из ведро,Raining cats and dogs (as if from a bucket)
"По-добре късно, отколкото никога",Better late than never
Гузен негонен бяга,A guilty conscience needs no accuser
На лъжата краката са къси,A lie has no legs
Краставите магарета през девет баира се подушват,Birds of a feather flock together (scabby donkeys scent each other over nine hills)
"Рано пиле, рано пее",Early bird gets the worm
Приятел в нужда се познава,A friend in need is a friend indeed
Вятър ме вее на бял кон,I am carefree (the wind is blowing and I'm on a white horse)
"Каквото ми е на сърцето, такова ми е на устата",I wear my heart on my sleeve
What goes around comes around,"Каквото повикало, такова се обадило"
I'm drowsy,Две не виждам
To kill two birds with one stone,С един куршум - два заека
Up in arms (mount the broomstick),Яхвам метлата
Once in a blue moon (from rain to wind),От дъжд на вятър
Save for a rainy day,Бели пари за черни дни
Night owl,Нощна птица
Like two peas in a pod,Като две капки вода
A spoken word and a thrown stone cannot be recalled,Казана дума - хвърлен камък
A leopard can't change its spots,"Вълкът козината си мени, но нрава – не"
