Idioms,Meanings
爱憎分明,"See everything in black and white, to be clear about whom or what to love or hate"
按部就班,follow conventional procedures; in accordance with the prescribed order
安然无恙,Be safe and sound (especially in a dangerous or threatening situation)
按图索骥,follow clues to locate sth. (lit. looking for a fine horse using only a picture)
安土重迁,hate to leave a place where one has lived long; be attached to one’s native land and reluctant to leave
百步穿杨,shoot with great precision
白首偕老,grow old together (as in a couple)
半斤八两,be six of one and half a dozen of the other
班门弄斧,show off one’s slight talent/skill in front of an expert
杯弓蛇影,be jittery; suffer from imaginary fears (lit. to see a bow reflected in a cup as a snake)
本末倒置,confusing cause and effect; to reverse the primary and secondary tasks (lit. to invert root and branch)
闭门思过,shut oneself up and ponder one’s mistakes
变化无常,"irregular; capricious, changes often"
别具一格,to have a unique style; describes literature; art and architecture
波涛汹涌,tumultuous situations
不加思索,to not think; to talk or act without thinking.
无可救药,irremediable; hopeless
不可磨灭,"indelible, everlasting"
不劳而获,reap without sowing
不过如此,just so so
不约而同,a coincidence; taking the same action without prior consultation
不择手段,by fair means or foul; by hook or by crook; unscrupulously
不知所措,"Be at a lost, be at one's wits ends, not know what to do"
不自量力,overrate one’s own abilities
三言两语,just a few words
草木皆兵,imaginary fears (lit. every tree or bush an enemy soldier)
参差不齐,"non-uniformity; non-standard, unven"
长驱直下,make long drive; push deep (after another move)
称心如意,after one’s heart; gratifying and satisfactory; everything one could wish
程门立雪,honor the teacher and respect his teachings (stand in the snow to wait upon Master Cheng respectfull)
持之以恒,persevere
出口成章,quick and clever talking; eloquent
出人头地,stand out among one’s fellows
传宗接代,carry on the family name/line; produce a male heir to continue the family line; to carry on one’s ancestral line
词不达,the words fail to convey the idea – poorly expressed; senseless; inarticulate
从容不迫,calm; unruffled
寸步不离,very close; inseparable; usually refers to two or more people
打草惊蛇,inadvertently alert an enemy/opponent
大海捞针,hard to find; like finding a needle in a haystack (lit. to fish a needle from the sea)
大可不必,need not; unnecessary
大器晚成,great minds mature slowly; Rome wasn’t built in a day (lit. it takes a long time to make a big pot)
大失所望,extremely disappointing
大同小异,similar in essential aspects; different in minor details
大义灭亲,uphold righteousness above one’s family
得不偿失,(saying) the gains do not make up for the losses
得天独厚,(of an area) rich in resources; (of a person) gifted or able
得意忘形,carried away; beside oneself with joy
地大物博,vast territory with abundant resources
丢三落四,to be forgetful; scatterbrained
动人心弦,touching
东山再起,"stage a comeback, rise from the ashes (lit. to return to office after living as a hermit on Mount Dongshan)"
东施效颦,blind imitation with ludicrous results
独来独往,be free and alone; come and go freely
独一无二,unlike any others; to be unique; one of a kind
断断续续,intermittent; off and on; discontinuous; stop-go; stammering; disjointed; inarticulate
对症下药,suit the remedy to the case (lit. to prescribe the right medicine for an illness)
多此一举,unnecessary; to do more than is required
多多益善,the more the better
尔虞我诈,deceive each other; engage in a battle of wits (lit. you hoodwink me and I cheat you)
反复推敲,repeated scrutiny
飞禽走兽,birds and animals; the beasts of the field and the birds of the air
风和日丽,gentle breeze and beautiful sun; describes the weather
风土人情,local conditions and customs
风雨无阻,"rain or shine, regardless of weather"
负荆请罪,offer humble apologies (lit. to bring a bramble and ask for punishment)
赴汤蹈火,go into boiling water and walk [step] on fire -- to undertake a matter fearlessly and vigorously in the interest of a cause or on behalf of a friend; defy all difficulties and danger; go through the baptism of fire;
大公无私,"put the group ahead of self, public before private"
高山流水,bosom friend; refined music
高枕无忧,sit back and relax; sleep an untroubled sleep
各抒己见,a discussion where everyone has equal say
功败垂成,fail when on verge of success
归根到底,"In the final analysis, when you get to the root of it"
邯郸学步,slavishly imitate others and lose own originality
和蔼可亲,friendly and amicable; usually refers to an elderly person
不相上下,equally matched; about the same
不屑一顾,to disdain as beneath contempt
不言而喻,It goes without saying
后顾之忧,fears of trouble in the rear; family worries (obstructing freedom of action); worries about the future consequences
取长补短,learn from others' strong points to offset one's weakness
狐假虎威,"bully people by flaunting one’s powerful connections (lit. the fox exploits the tiger’s might), riding the back of the powerful"
囫囵吞枣,lap up information without digesting/understanding it (lit. to swallow a date whole)
互助合作,"cooperative, mutually aid"
望梅止渴,console oneself with false hopes; feed on fancies (quench one's thirsty by thinking of plums)
画龙点睛,"Make finishing point, Add finishing touch (lit. add eyes to the dragon)"
黄粱美梦,pipe dream (lit. dream of golden millet)
恍然大悟,to suddenly realize; to suddenly see the light
火上加油,adding fuel to fire; to enrage people and make matters worse
