Idioms,Meanings
爱不释手,to fondle admiringly (lit. to love sth too much to part with it)
爱憎分明,to be clear about whom or what to love or hate
按部就班,follow conventional procedures;in accordance with the prescribed order
安居乐业,live in peace and work happily
安然无恙,to be in a good situation without any problem;usually pertaining to health
按图索骥,follow clues to locate sth. (lit. looking for a fine horse using only a picture)
安土重迁,hate to leave a place where one has lived long;be attached to one’s native land and reluctant to leave
拔苗助长,spoil things by excessive zeal
百步穿杨,shoot with great precision
白首偕老,grow old together (as in a couple)
半斤八两,much to choose between
班门弄斧,show off one’s slight talent/skill before an expert
半途而废,to give up halfway;to leave something unfinished
饱经沧桑,having lived through many changes
杯弓蛇影,be jittery;suffer from imaginary fears (lit. to see a bow reflected in a cup as a snake)
背井离乡,be forced to leave one’s home (for a remote place)
本末倒置,confusing cause and effect;to reverse the primary and secondary tasks (lit. to invert root and branch)
必不可少,absolutely necessary
闭门思过,shut oneself up and ponder one’s mistakes
变化无常,irregular;capricious
别具一格,to have a unique style;describes literature;art and architecture
博大精深,wide-ranging and profound;broad and deep
波涛汹涌,tumultuous situations
不加思索,to not think;to talk or act without thinking.
不可救药,irremediable;hopeless
不可磨灭,indelible
不可思议,inconceivable;unimaginable;unfathomable
不劳而获,reap without sowing
不唯如此,so is the case
不相上下,equally matched;about the same
不屑一顾,to disdain as beneath contempt
不言而喻,obvious
不约而同,a coincidence;taking the same action without prior consultation
不择手段,by fair means or foul;by hook or by crook;unscrupulously
不知所措,not knowing what to do;refers to an awkward or confusing situation
不自量力,overrate one’s own abilities
三言两语,just a few words
草木皆兵,imaginary fears (lit. every tree or bush an enemy soldier)
参差不齐,non-uniformity;non-standard
层出不穷,more and more emerge;innumerable succession;breeding like flies
长驱深入,make long drive;push deep
称心如意,after one’s heart;gratifying and satisfactory;everything one could wish
程门立雪,honor the teacher and respect his teachings
成千上万,a massive amount (lit. by the thousands and tens of thousands)
持之以恒,persevere
出口成章,quick and clever talking;eloquent
出人头地,stand out among one’s fellows
川流不息,the stream flows without stopping;unending flow
传宗接代,carry on the family name/line;produce a male heir to continue the family line;to carry on one’s ancestral line
词不达意,the words fail to convey the idea –poorly expressed;senseless;inarticulate
从容不迫,calm;unruffled
寸步不离,very close;inseparable;usually refers to two or more people
打草惊蛇,inadvertently alert an enemy/opponent;punish sb. as a warning to others (lit. beat the grass to scare the snake)
大吃一惊,be greatly surprised
大海捞针,hard to find;like finding a needle in a haystack (lit. to fish a needle from the sea)
大可不必,need not;unnecessary
大器晚成,great minds mature slowly;Rome wasn’t built in a day (lit. it takes a long time to make a big pot)
大失所望,extremely disappointing
大同小异,similar in essential aspects;different in minor details
大义灭亲,uphold righteousness above one’s family
当务之急,top priority job;matter of vital importance
得不偿失,(saying) the gains do not make up for the losses
得天独厚,(of an area) rich in resources;(of a person) gifted or able
得意忘形,carried away;beside oneself with joy
地大物博,vast territory with abundant resources
丢三落四,to be forgetful;scatterbrained
动人心弦,touching
东山再起,come back (lit. to return to office after living as a hermit on Mount Dongshan)
东施效颦,ludicrous attempt to imitate
东张西望,to look in all directions;to glance around
独来独往,be free and alone;come and go freely
独一无二,unlike any others;to be unique;one of a kind
断断续续,intermittent;off and on;discontinuous;stop-go;stammering;disjointed;inarticulate
对牛弹琴,cast pearls before swine;talk over sb.’s head
对症下药,suit one’s methods to the situation (lit. to prescribe the right medicine for an illness)
多此一举,unnecessary;to do more than is required
多多益善,the more the better
尔虞我诈,deceive each other;engage in a battle of wits (lit. you hoodwink me and I cheat you)
反复推敲,repeated scrutiny
飞禽走兽,birds and animals;the beasts of the field and the birds of the air
丰富多彩,diverse;rich and varied;rich and colorful;varied;eventful
风和日丽,gentle breeze and beautiful sun;describes the weather
风土人情,local conditions and customs
风雨无阻,rain or shine
负荆请罪,offer humble apologies (lit. to bring a bramble and ask for punishment)
赴汤蹈火,go through fire and water
高而忘私,put the group ahead of self
高山流水,bosom friend;refined music
高枕无忧,sit back and relax;sleep an untroubled sleep
各抒己见,a discussion where everyone has equal say
根深蒂固,deep-rooted (problem etc)
功败垂成,fail when on verge of success
供不应求,supply does not meet demand
归根到底,to sum it up...
邯郸学步,slavishly imitate others
和蔼可亲,friendly and amicable;usually refers to an elderly person
后顾之忧,fears of trouble in the rear;family worries (obstructing freedom of action);worries about the future consequences
互补长短,make up for each other’s shortcomings
狐假虎威,bully people by flaunting one’s powerful connections (lit. the fox exploits the tiger’s might)
囫囵吞枣,lap up information without digesting it
互助合作,co-operative
画饼充饥,feed on illusions (lit. to allay one’s hunger using a picture of a cake)
画龙点睛,add touches that bring a work of art to life;add a word or two to clinch point
画蛇添足,to overdo it (lit. draw legs on a snake)
黄粱美梦,pipe dream;illusions of wealth and power (lit. dream of golden millet)
恍然大悟,to suddenly realize;to suddenly see the light
毁性伤情,hurting one’s feelings deeply
火上加油,adding fuel to fire;to enrage people and make matters worse
急功近利,seeking instant benefit;shortsighted vision;looking only for fast return
继往开来,to follow the past and herald the future;part of a historical transition;forming a bridge between earlier and later stages
记忆犹新,to remain fresh is one’s memory;remember vividly
急于求成,anxious for quick results;to demand instant success;impatient for result;impetuous
家喻户晓,understood by everyone;well known;a household name
健步如飞,fleet footed (lit. running as fast as flying)
见多识广,experienced and knowledgeable
见义勇为,to see what is right and act courageously;to stand up bravely for the truth;acting heroically in a just cause
江郎才尽,have used up one’s literary talent/energy
竭尽全力,to spare no effort;to do one’s utmost
嗟来之食,food rudely offered;grudging handout;help grudgingly
今非昔比,to see improvement in the present compared to the past (can be a fact or an opinion)
津津有味,with keen interest pleasure;with gusto;to relish;eagerly;with great interest
金石为开,sincerity can make metal and stone crack
近水楼台,waterfront pavilion;favorable position;point of vantage
锦绣前程,a bright future;a rosy future;brilliant prospects
精打细算,(saying) meticulous planning and careful accounting
井底之蛙,a person with a very limited outlook and experience;an ignorant person (lit. a frog in a well)
兢兢业业,cautious and conscientious
井井有条,in perfect order;neat and tidy
精益求精,to perfect sth that is already outstanding;constantly improving
聚精会神,to concentrate one’s attention
举世闻名,(saying) world famous
举世无匹,nothing can compare to this
举世瞩目,attract worldwide attention
举一反三,learn by analogy;to deduce many things from one case (lit. to raise one and infer three)
举足轻重,a foot’s move sways the balance;to hold the balance of power;to play the decisive role
开诚布公,speak frankly and sincerely (lit. deal sincerely and fairly)
开卷有益,the benefits of education (lit. opening a book is profitable)
开天辟地,creation of the world;since the beginning of time
刻不容缓,to brook no delay;to demand immediate action
刻舟求剑,take measures without regard to changes in circumstances (lit. a notch on the side of a boat to locate a sword dropped overboard)
空前绝后,unprecedented and never to be duplicated;the first and the last;unmatched;unique
口是心非,saying something that one does not mean (lit. mouth says yes;heart no)
口说无凭,oral expressions can not be taken as evidence;words of mouth alone don’t carry conviction
苦尽甘来,bitterness finishes;sweetness begins;the hard times are over;the good times just beginning
滥竽充数,fill a position just to make up the number (lit. to play the yú 竽 mouth organ to make up numbers)
狼狈为奸,villains collude together;to work hand in glove with sb.
狼吞虎咽,to eat very quickly and ravenously
老马识途,an old hand is a good guide;an experienced worker knows what to do
乐不思蜀,indulge in pleasure and forget home and duty
乐此不疲,to enjoy sth and never tire of it
乐观进取,be positive
力不从心,the spirit is willing but the flesh is weak;not as strong as one would wish
理所当然,as it should be by rights;proper and to be expected as a matter of course;inevitable and right
力所能及,as far as one’s capabilities extend;to the best of one’s ability;within one’s powers
理直气壮,in the right and self-confident;to have the courage of one’s convictions;just and forceful
两败俱伤,lose-lose;both sides suffer
两全其美,to the satisfaction of both parties;to have it both ways
漏网之鱼,lucky survivor;fugitive;homeless exile (lit. fish that escaped the net)
屡见不鲜,common occurrence;nothing new
乱七八糟,in a mess;in terrible disorder
络绎不绝,continuously;in an endless stream
马到成功,instant success;beginner’s luck
满城风雨,talk of the town;a big scandal (lit. wind and rain through the town)
满载而归,rewarding;to return from a rewarding journey
冒充内行,pretend to be an expert
没精打采,to be listless or apathetic
美中不足,having only one small flaw;everything is fine except for one small defect
门当户对,families of equal standing;be well-matched in social and economic status (for marriage);good [marriage] match
门庭若市,much-visited house;the shop is doing booming business;the courtyard is like a fair
孟母三迁,a wise mother would try to find a good environment for her children’s best education.
面面俱到,cover everything
面目一新,to change for the better;take on an entirely new look;take care of everything
妙语如珠,articulate (lit. smart words like a string of pearl)
名副其实,not just in name only;but also in reality
名落孙山,fail in a competitive/imperial examination
莫名其妙,unfathomable mystery;subtle and ineffable;unable to make head or tail of it;boring (e.g. movie)
难能可贵,rare and commendable;estimable
南辕北辙,diametrically opposite;act at cross-purposes;be poles apart
囊萤夜读,reading by the light of fireflies
呕心沥血,throw all one’s energy into sth;to work one’s heart out (lit. to spit out one’s heart and spill blood)
抛砖引玉,used to offer a humble remark before distinguished speech (lit. to throw a brick to attract jade)
鹏程万里,have a bright future
飘忽无定,someone who changes their mind a lot;someone who wanders around and is difficult to find
迫不及待,impatient;in a hurry;itching to get on with it
破釜沉舟,burn one’s bridges
剖腹藏珠,die in pursuit of gain (lit. cutting one’s stomach to hide a pearl)
