Idioms,Meanings
aasinsilta,A tenuous connection between the old discussion topic and a new one. lit.: a bridge of a donkey
aataminaikainen,"(Of an object) very old, old-fashioned. lit.: from the time of Adam"
alkaa vetää,To leave immediately. Pull off. lit.: to start to pull.
auki,"Without money, broke, to owe money. lit.: open"
ei hätä ole tämän näköinen,Don't worry. We'll make through this (in a distress/stressful situation) lit:. This is not what an emergency looks like.
ei olla jäniksen selässä,Not to be in an immediate hurry. lit.: not to be riding a hare
ei olla suu tuohesta,Not to abstain from food or drink (always used with a negative). lit.: not to have a mouth of birch bark
ei sylkeä lasiin,Not to abstain from alcohol (always used with a negative). lit.: not to spit into the glass
eilisen teeren poika,"Inexperienced, gullible (usually used with a negative, ""nobody's fool"") lit.: son of yesterday's grouse"
ei nähdä metsää puilta,"To stick to details, failing to see from a wider perspective. lit.: not to see the forest from the trees"
elää kuin pellossa,"To live without cleaning up after oneself, or bothering about what others think about one. lit.: like living in a field"
en minä voi siksi muuttua,"A statement that a desired object simply isn't available, no matter how much someone keeps asking for it. lit.: I can´t change into that"
heittämällä,With little or no effort required. lit.: by throwing
heittää lusikka nurkkaan,To die or to give up. lit.: to throw the spoon in the corner
heittää veivinsä,To die. lit.: to throw one´s crankshaft
hevoset karkaa,"A euphemism for ""your fly is open"". lit.: the horses are running away"
heittää (jollakin) vesilintua,To throw away. (As in throwing into a lake.) lit.: to throw something at waterfowl
homma hanskassa,To have it under control or to be able to do the task at hand. lit.: to have the task or job in one's glove.
hoo moilasena,"Shocked, mouth agape, utterly unprepared, never heard. lit.: as H. Moilanen"
huitsin Nevadaan,"Away, to an unknown place, never to be seen again. lit.: to Nevada (for all I care)"
hevon kuuseen,"Away, to an unknown place, never to be seen again. lit.: to the horse's spruce tree"
hymyillä kuin Hangon keksi,"To smile very broadly and happily. lit.: smile like a ""a biscuit from Hanko"""
hyppiä seinille,To act alarmedly; to panic. lit.: to jump onto walls.
(joko) hyvällä tai pahalla,Willingly or by force. lit.: With the good or the bad.
ihmisten ilmoilla,"At a place popular or populated enough to earn one's respect. Can also be used more literally, to mean at a place where one can be rescued. lit.: in people's air/weather"
irtoaa kuin mummon hammas,"Goes very, very easily. lit: comes loose like granny's tooth"
"joka kumartaa yhdelle, pyllistää toisille","If you favour one, you'll discriminate the others. lit.: who bows to one, will show his butt to the others."
