Idioms,Meanings
avoir le bras long,to have influence (to have a long arm)
être un bourreau des coeurs,to be a casanova (to be an executioner of hearts)
avoir le coeur sur la main,to be kindhearted (to have one's heart on one's hand)
se croire sorti de la cuisse de Jupiter,to think a lot of yourself (to think yourself sprung from Jupiter's thigh)
se mettre le doigt dans l'oeil,to be entirely mistaken (to put your finger in your eye)
tenir la jambe à quelqu'un,to bore someone with endless conversation (to hold someone's leg)
avoir un poil dans la main,to shy away from work (to have a hair on your hand)
tomber sur un os,to hit a snag (to fall on a bone)
casser les pieds à quelqu'un,to annoy someone (to break someone's feet)
manger sur le pouce,to have a quick snack (to eat on the thumb)
tirer le diable par la queue,to be short of money (to pull the devil by the tail)
partir ventre à terre,to race off (leave with your belly to the ground)
faire l'âne pour avoir du son,to play dumb (to play the donkey to get the bran)
chercher la petite bête,to nitpick (to lok for the little beast)
avoir le cafard,to be glum (to have the cockroach
appeler un chat un chat,to call a spade a spade (to call a cat a cat)
entre chien et loup,at dusk (between dog and wolf)
sauter du coq à l'âne,to jump from one thing to another (jump from the rooster to the donkey)
avaler des couleuvres,to swallow one's pride (to swallow grass snakes)
poser un lapin à quelqu'un,to stand someone up (to lay the rabbit on someone)
courir deux lièvres à la fois,to have your finger in many pies (to run after two hares at the same time)
avoir mangé du lion,to have abundant energy (to have eaten lion meat)
une truie n'y retrouverait pas ses petits,this place is a mess (a sow wouldn't find her young in this place)
manger de la vache enragée,to go through lean times (to eat meat from the rabid cow)
faire un chèque en bois,to bounce a cheque (to make a wooden cheque)
casser du bois,smash up your car (to break wood)
montrer de quel bois on se chauffe,to show what you're made of (to show what sort of wood you use to warm yourself)
ramasser une bûche,to take a bad fall (to pick up a log)
enlever une épine du pied à quelqu'un,to get someone out of a jam (to remove a thorn from someone's foot)
jeter des fleurs à quelqu'un,to speak highly of someone (to throw flowers at someone)
couper l'herbe sous le pied de quelqu'un,to pull the rug from under someone (to cut the grass beneath someone's feet)
manger les pissenlits par la racine,to push up daisies (to eat dandelions by the root)
couper la poire en deux,to meet halfway (to cut the pear in two)
faire le poireau,to be kept waiting (to act like a leek)
tomber dans les pommes,to faint/pass out (to fall into the apples)
tirer les marrons du feu,to be played for a fool (to pull the chestnuts from the fire)
se fendre la pêche,to laugh your head off (to split the peach)
jeter de l'huile sur le feu,to add fuel to the fire (to throw oil on the fire)
tondre des oeufs,to be a cheapskate (to shave the eggs)
pédaler dans la semoule,to take leave of your senses (to pedal in the semolina)
cracher dans la soupe,to spoil everything (to spit in the soup)
casser du sucre sur le dos de quelqu'un,to talk behind someone's back (to break sugar on someone's back)
rôtir le balai,to live the high life (to roast the broom)
mettre quelqu'un en boîte,to make fun of someone (to put someone in a box)
tirer la couverture à soi,to take the lion's share (to pull the blanket to yourself)
tomber les quatre fers en l'air,to fall flat on your back (to fall down with all four horseshoes in the air)
être une vraie girouette,to change with the weather (to be a real weathervane)
passer au peigne fin,to search thoroughly (to go over with a fine tooth comb)
envoyer quelqu'un aux pelotes,to send someone about their business (to send someone to the balls of yarn)
tourner autour du pot,to beat around the bush (to circle around the pot)
payer les pots cassés,to pay the piper / face the consequences (to pay for the broken pots)
passer un savon à quelqu'un,to reprimand someone (to pass the bar of soap to someone)
tirer les sonnettes,to network (to ring the doorbells)
se mettre à table,to confess to the police / to own up (to sit down at a table)
saisir la balle au bond,to seize the opportunity (to seize the ball on the rebound)
mettre des bâtons dans les roues de quelqu'un,to put a spanner in the works (to put a stick in someone' wheels)
reprendre ses billes,to renege on a deal (to take back your marbles)
un coup d'épée dans l'eau,a wasted effort (a sword blow into the water)
ronger son frein,to champ at the bit (to gnaw one's bit)
il tombe des hallebardes,its raining cats and dogs (halberds are are falling)
avoir les jetons,to be scared / have the jitters (to have tokens)
voir le monde par le petit bout de la lorgnette,to exaggerate about yourself (to view the world from the small end of the spyglass)
être dans les petits papiers de quelqu'un,to be in someone's good books (to be in someone's little papers)
être au bout du rouleau,to be at the end of your rope (to be at the end of your roll)
couper le sifflet à quelqu'un,to cut someone short (to cut someone's whistle)
être sous les verrous,to be under lock and key (to be under the bolts)
ramasser une veste,to lose badly in an election (to pick up a jacket)
avoir l'air d'une poule qui a trouvé un couteau,to be confused (to look like a chicken that has found a knife)
jeter l'argent par les fenêtres,to squander money (to throw money out the window)
brûler les étapes,to go faster than expected (to burn the stops in between)
être au four et au moulin,to be in two places at the one time (to be at the oven and the windmill)
faire le mur,to escape (to do the wall)
raser les murs,to keep a low profile (to shave the walls)
tenir le haut du pavé,to be of the upper crust (to hold the top of the cobblestone)
sauter au plafond,to be very angry (to jump to the ceiling)
faire le pont,to have a long weekend (to make the bridge)
mettre la clef sous la porte,to close down a business (to put the key under the door)
casser la baraque,to spoil something someone else has done (to destroy the shack)
tirer des plans sur la comète,to count your chickens before they're hatched (to draw up plans on a comet)
bâtir des châteaux en Espagne,to build castles in the air / have mad dreams (to build castles in Spain)
il n'y a pas le feu,calm down / we're in no hurry (there's no fire)
Ce n'est pas la mer à boire,its' not all as bad as that (its not the sea to drink)
c'est au bout du monde,it's at the end of the earth
tomber des nues,to be take aback / fall from one's chair (to fall from the clouds)
ce n'est pas le Pérou,its nothing to write home about (it's not Peru)
c'est un travail de Romain,it's a Herculean task (it's a job for a Roman)
n'être jamais sorti de son trou,to live in a cave / under a rock (to never leave your hole)
c'est la goutte d'eau qui a fait déborder le vase,it's the last straw (its the drop that made the vase overflow)
être complètement allumé,to be crazy (to be completely lit up)
être habillé comme l'as de pique,to be dressed in any which way (to be dressed like the ace of spades)
prendre un bain de foule,to mingle with the crowd (to take a crowd bath)
un vrai tas de boue,an old banger (a real heap of mud)
être branché,to be in the know (to be plugged in)
coincer la bulle,to hit the hay (to get the bubble stuck)
coller un élève,to give a pupil detention (to glue a pupil)
faire cavalier seul,to go it alone (to act like a lone rider)
faire sauter une contravention,to have a traffic ticket cancelled (to have a ticket jump)
une histoire à dormir debout,a tall tale (a story to make you fall asleep standing up)
avoir des lettres,to be well read (to have letters)
connaître la musique,to know the score (to know the music)
être timbré,to be nuts (to be stamped)
évolutif,progressive
procéder à,to undertake (to proceed)
pallier,"to compensate, to make up for, or resolve in a temporary manner"
confier,to entrust
en complément,as a supplement (in addition)
apposer,to stamp or affix a signature
faire ressortir,to highlight
traiter qqn par-dessous la jambe,to treat someone in an offhand way
être en délicatesse avec qqn,to be at odds with someone (it's delicate)
avoir les délicatesses pour qqn,to be very attentive with someone
une oeuvre sans délicatesse,a crude piece of work (without refinement)
il y a anguille sous roche,there's something fishy going on
recourir à,to resort to
de premier ordre,"first rate, high class, top-notch, of the first order"
dès lors,"therefore, since then"
manier la carotte et le bâton,to use stick and carrot tactics
les carottes sont cuites,the game is up (we're in for it now)
"il ne marche pas, il court",he's as gullible as they come
marcher sur la tête de qqn,to walk all over someone
damer le pion à qqn,to trump someone
annoncer la couleur,"to lay one's cards on the table, set the tone, declare trumps"
chacun voit midi à sa porte,everyone has their own way of seeing things
être en porte-à-faux,to be in an awkward position
être d'une bêtise achevée,to be utterly stupid
se fourrer une idée dans la tête,to get an idea in one's head
se fourrer dans une histoire,to get mixed up in bad business (not pétrin)
être dans les vapes,"to be out of sorts, unconscious, out of it (not cirage)"
être fauché,to be broke
une tournure d'esprit,a turn of mind (a frame of mind)
faire faillite,to go bust (bankrupt)
votre honnêteté vous fait honneur,your honesty does you credit (formal)
j'en fais mon affaire,i'll deal with it
magouiller,to wheel and deal
mettre qqch sur le tapis,to wheel out something
se repérer,to find one's bearings
être désorienté,to lose one's bearings (to be disoriented)
repérer les rouages,to locate the parts
appréhender de faire,to dread doing
englober qqch,to comprehend something
une étude faite avec rigueur,a meticulous study (rigorous)
les précautions de rigueur,necessary precautions
de rigueur,"obligatory, required, a must"
tenir rigueur à qqn,"to hold something against somebody (bear a grudge, not dent)"
porter le chapeau,to take the blame or the rap
faire porter les cornes à,to cheat on or be unfaithful
à quel moment ?,at what point?
il arrive un moment où,there comes a point when
en fait,"in point of fact, in fact, actually"
pour information,"as a point of information, for info"
trouver à comprendre,to figure something out
avoir tout tracé,to have everything mapped out
en bref,in a nutshell
à la rigueur,in a pinch
rogner sur tout,to pinch and scrape
garder son sang-froid,to keep a stiff upper lip
être sur le point de,to be on the brink of
