Idioms,Meanings
mal sehen,we'll see
Hör mal zu!,listen
"Wer A sagt, muss auch B sagen.",Once you've started something you've got to follow through.
das A und O,the most important thing
mit geld aasen,to throw money around
abbitte leisten,"to ask for pardon, make amends"
bis in die Puppen,When something is taking a long time
eine Zeit lang,for a while
in die Länge ziehen,to drag on
einen abbeißen,to have a drink
Aber was denn!,"Come, come! Come on now!"
Kein Aber!,"No ifs, ands, or buts!"
Die Sache hat ein Aber.,There's a catch
mit Ach und Krach,with great difficulty
Ach was!,Of course not!
"Achtung, fertig, los!","Ready, set, go!"
alle Jahre wieder,year after year
alle Jubeljahre,once in a blue moon
Aller Anfang ist schwer.,The first step is always the hardest.
Aller guten Dinge sind drei,All good things come in threes.
alles grau in grau malen,to be pessimistic
"Alles hat ein Ende, nur die Wurst hat zwei.","Everything has an end, only the sausage has two."
"Andere Länder, andere Sitten.",When in Rome do as the Romans do.
Der Apfel fällt nicht weit vom Stamm.,The apple doesn't fall far from the tree.
Das ist mein Bier!,That's my business!
in den sauren Apfel beißen,to bite the bullet
Arbeit macht das Leben süß.,Hard work never hurt anyone.
etwas aus dem Ärmel schütteln,to pull something out of a at
Das passt wie die Faust aufs Auge.,It's all wrong. It's out of place. It clashes. (colors)
"Aus den Augen, aus dem Sinn.","Out of sight, out of mind."
Die Axt im Haus erspart den Zimmermann.,An axe in the house keeps the carpenter away.
nur Bahnhof verstehen,it's Greek to me
Das ist Banane!,That's crazy!
etwas auf die lange Bank schieben,to put something off
einen langen Bart haben,to be as old as the hills
Arbeit adelt.,Work ennobles
jemandem einen Bären aufbinden,"to pull something over on someone, fool"
"Man soll das Fell des Bären nicht verteilen, bevor man ihn erlegt hat.",Don't count your chickens before they're hatched.
stark wie ein Bär,strong as an ox
"Wer Bären fangen will, muss sich mit Honig versehen.",You can catch more flies with honey than with vinegar.
Mit Speck fängt man Mäuse.,You can catch more flies with honey than with vinegar.
"Es ist kein Baum, der nicht zuvor ein Sträuchlein gewesen.",Great things start with small beginnings.
in Bausch und Bogen,"lock, stock, and barrel"
Da liegt der Hund begraben.,That's the heart of the matter.
Hals und Beinbruch!,Break a leg!
sich kein Bein ausreißen,to not strain oneself.
auf die Beine kommen,to get back on one's feet
Wo drückt es dich denn?,What's on your mind?
auf den Beinen sein,to be back on one's feet
bekannt wie ein bunter Hund,well known
Bellende Hunde beißen nicht.,Barking dogs don't bite.
mit etwas hinterm Berg halten,to keep something to oneself
über alle Berge sein,to be long gone
über den Berg sein,to be on the road to recovery
"Wenn der Berg nicht zum Propheten kommt, muss der Prophet zum Berg kommen.","If the mountain won't come to Mohammed, then Mohammed must come to the mountain."
"Ich fresse einen Besen, wenn...",I'll eat my hat if...
Neue Besen kehren gut.,A new broom sweeps clean.
das Bett hüten müssen,have to stay in bed
mit seiner Gesundheit aasen,to burn the candle at both ends
Das ist nicht dein Bier!,None of your business!
blass vor Neid sein,to be green with envy
jemanden vor Neid erblassen lassen,to make someone green with envy
Das steht auf einem anderen Blatt.,That's another story.
Er ist kein unbeschriebenes Blatt.,He has a (criminal) record.
kein Blatt vor den Mund nehmen,to speak frankly
keinen Bock,not give a damn
null Bock,couldn't care less
null Bock auf nichts,be pissed off about everything
blau machen,to skip school/work
den Bock zum Gärtner machen,to be asking for trouble
stur wie ein Bock,stubborn as a bull
wie ein Bock stinken,stink to high heaven
einen schönen Bockmist machen,to make a holy mess
einen ziemlichen Bockmist verzapfen,to come out with a load of bull
dumm wie Bohnenstroh,dumb as a post
dumm wie Brot,dumb as a post
dumm wie eine Gans,dumb as a post
Borgen macht Sorgen.,Neither a borrower or a lender be.
böses im Schilde führen,be up to no good
nichts Gutes im Schilde führen,be up to no good
Böse Gedanken zeugen böse Taten.,Bad thoughts lead to bad deeds.
Male nicht den Teufel an die Wand!,Don't speak of bad things or they may happen!
Du Flasche!,You loser!
"Wes Brot ich ess, des Lied ich sing.","He who pays the piper, calls the tune."
wie es im Buch steht,"the way it's supposed to be, as written, a textbook example"
jemandem vor die Büchse kommen,"to come into someone's sights, become the focus of someone's attention, become a target (of someone)"
die Büchse der Pandora öffnen,to open Pandora's box
unter Dach und Fach,"wrapped up, in the bag"
Daumen drehen,to twiddle one's thumbs
Daumen drücken!,Keep your fingers crossed!
sich nach der Decke strecken,to make ends meet
