Idioms,Meanings
zamienić się w słuch,to be all ears
postawić wszystko na jedną kartę,to put all one's eggs in one basket
robić dobrą minę do złej gry,to make the best of a bad bargain
mieć mętlik w głowie,to be all abroad
wyrównywać z kimś rachunki,to settle accounts with sb
odpłacić komuś pięknym za nadobne,to serve sb with the same sauce
z deszczu pod rynnę,from the smoke into the smother
szukać dziury w całym,to find a quarrel in a straw
kopnąć w kalendarz,to kick the bucket
wtykać nos w nie swoje sprawy,to poke one's nose into sb's business
żarty na bok,joking apart/aside
w mgnieniu oka,at the drop of a hat
gołym okiem,with the unaided eye
za pięć dwunasta,at the eleven hour
nie wywołuj wilka z lasu,let sleeping dog lie
zejść na psy,to go to the dogs
latać jak kot z pęcherzem,to run around like a scalded cat
o wilku mowa,speak of the devil
"pies ogrodnika; sam nie zje, a drugiemu nie da",a dog in the manger
tu jest pies pogrzebany; w tym sęk,that's where the shoe pinches
"Zapomniał wół, jak cieleciem był.",The priest forgets that he was a clerk.
Lepszy wróbel w garści niż gołąb na dachu.,A bird in hand is worth two in the bush.
pogoda pod psem,lovely weather for ducks
"tyle, co kot napłakał",next to nothing
psie pieniądze,dirt cheap
"Gdy nie ma kota, myszy harcują.",When the cat's away the mice will play
kupować kota w worku,to buy a pig in a poke
końska dawka,a very large dose of something
mól książkowy,bookworm
mieć węża w kieszeni,"to be stingy, ungenerous"
średnio na jeża,"not particularly, not really"
ranny ptaszek,early bird
naiwny jak dziecko,a babe in the woods
stanąć jak wryty,to come to a dead stop; to stop in one's tracks
zdrowy jak ryba,as fit as a fiddle
łgać jak z nut,to lie through one's teeth
(coś idzie) jak po maśle,sth goes on wheels
dumny jak paw,as proud as a peacock
tani jak barszcz,dirt cheap
zniknąć jak kamfora,to melt into thin air
jasne jak słońce,as plain as the nose on your face
pijany jak bela,as drunk as a lord
jak krew z nosa,"very slowly, with great difficulty"
nudne jak flaki z olejem,dull as dishwater
siedzieć jak na tureckim kazaniu,to not understand a thing
szczenięca miłość,calf love
wulkan energii,ball of fire
ostatnia deska ratunku,sb's sheet anchor
złota rączka,a jack-of-all-trades
