Idioms,Meanings
siedzić na szpilkach,to be on tenterhooks
mieć nerwy ze stali,to have nerves of steel
nie mieć pojęcia,to not have a clue
łamać sobie język,to get your tongue tied up
mieć w głowie groch z kapustą,to be really confused
dać za wygraną,to give up for lost
trening czyni mistrza,"if you work hard, you will succeed"
strach na wróble,scarecrow
brzydki jak noc,ugly as sin
palce lizać,yum yum =)
zjeść konia z kopytami,to eat a whole horse (i.e. every last bite)
niebo w gębie,it's delicious
obejść się smakiem,(i think) to go without what you want
upaść na głowę,to crack up
coś się nie mieści w głowie,to not be able to get your head around
przyjąc kogoś z otwartymi ramionami,to accept someone with open arms
stanąć na własnych nogach,to stand on your own two feet
przyjmę przyjmiesz,conjugation of przyjąć
stanę staniesz,conjugation of stanąć
mieć węża w kieszeni,to not like spending money
obiecywać złote góry,to strike gold
nabić w butelkę,to make a fool of someone
chwyt reklamowy,marketing ploy
wpaść w ucho,something gets stuck in your head
świecić pustkami,to be half empty
połknąć bakcyla,to get the bug for something
otworzyć komuś drzwi do kariery,to open doors for someone
owijać w bawełnę,to spin a yarn
wiadomość z pierwszej ręki,first hand news
pociągnąć kogoś za język,"to question, to obtain information"
