Idioms,Meanings
Вернемся к нашим баранам,Let's return to our subject
Водить за нос,"fool, trick"
Волосы дыбом,"hair on end, scared"
Вот где собака зарыта!,"that's the root of the matter!, That's where the bones are buried!"
ВсЫпать по первое число,"Give the third degree, give a sound trashing"
Втирать очки,pull the wool over somebody's eyes
Глас вопиющего в пустыне,a voice <crying> in the wilderness (nobody will believe)
Гол как сокол,very poor
Голая правда,naked truth
Горе луковое,lame duck
Двуликий Янус,two-faced (janus)
Дело в шляпе,"it's in the bag, it's a sure thing"
Деньги не пахнут,"The source of money doesn't matter (it could be dirty money, but it doesn't smell)"
Довести до белого каления,to make somebody hopping mad
Египетские казни,Very severe punishment (cruel and unusual)
Зарубить на носу,"Put that in your pipe and smoke it, get it in your head"
Как кур во щи (попасть),"bad luck, get the short straw"
Калиф на час,king for a day
Козел отпущения,scapegoat
Отложить в долгий ящик,"to shelve, put off for another time"
Разводить антимонии,"shoot the breeze, idle talk"
Сбоку припека,redundant
Тертый калач,"old hand, slick customer"
Точить лясы,"talk hot air, gossip"
Филькина грамота,"useless scrap of paper (of promise, certificate)"
Яблоко раздора,bone of contention
Ящик Пандоры,Pandora's Box
В ногах правды нет,"there's no point in stadning, have a seat"
Кто рано встает тому Бог подает,The early bird catches the worm
В гостях хорошо а дома лучше,"east or west, home is best"
Цель оправдывает средства,the ends justify the means
На вкус и цвет товарищей нет,"to each his own, no use arguing taste"
Исключение подтверждает правило,the exception proves the rool
Все хорошо в свое время,Everything is good when it's in season
Запретный плод сладок,the forbidden fruit is sweetest
Яблоко от яблони недалеко падает,the apple doesn't fall far from the tree
Нет дыма без огня,there's no smoke without fire
Клин клином вышибается,"fight fire with fire, one fire drives out another"
От судьбы не уйти,no flying from fate
"Не все то золото, что блестит",all that glitters is not gold
Внешность обманчива,apperances can be deceiving
Каждый сам строитель своего счастья,every man is the forger of his own luck
Лучше синица в руках чем журавль в небе,A bird in the hand is better than two in the bush
Дареному коню в зубы не смотрят,don't look a gift horse in the mouth
Водой не разольёшь,you couldn't split them apart with water
Лить как из ведра,its raining cats and dogs
Как об стенку горох,you might as well be talking to a brick wall
Красный как рак,red from embarassement
Набрать в рот воды,"to keep mum, keep your mouth shut"
знать как свои пять пальцев,Know like the back of your hand
белая ворона,"the odd one out, stick out like a sore thumb"
Друг познаётся в беде,A friend in need is a friend indeed
Без труда не вытащишь и рыбку из пруда,No pain no gain
Век живи век учись,live and learn
Будет и на нашей улице праздник,Every dog has his day
"Любовь зла, полюбишь и козла",love is blind
За спрос не бьют в нос,It doesn't hurt to ask
Пьяному море по колено,"to a drunk, the seas is only knee deep (get in deeper than you think)"
До свадьбы заживёт,You'll live (it'll heal bfeore the wedding)
когда рак на горе свистнет,"When pigs fly, when hell freezes over"
как гром среди ясного неба,Out of the blue
на воре и шапка горит,"someone has a guilty conscience, doth protest too much"
Кот наплакал,very little (the cat is crying)
По коням!,"Let's go! (let's ride outta here, in the car)"
хоть шаром покати,"completely empty, nothing up there"
мышь повесилась (в холодильнике),There's nothing to eat (in the fridge)
выбивать из колеи,get off track/lose one's train of thought
Заговаривать зуб,change the subject/butter up/charm away a problem
э´то eжу´ я´сно (это ежу понятно),Anyone could see it -- it was clear to a hedgehog
глядеть в оба,to be on one's guard
быть начеку('),"to be on guard, look alive"
из ко´жи вон лeзть,to do one's utmost
тaнцeвa´ть от пe´чки,back to the drawing board (start something over)
вороти´лa,a big wig
ци´фрa бо´лee окру´глaя,a nice round number
Медведь на ухо наступил,to be tone deaf
остаешься за главного,hold down the fort (while I'm gone)
Обвести вокруг пальца,"lie, cheat or scam (to wrap you around their finger)"
держать язык за зубами,Keep a secret (hold your tongue back)
москва не сразу строилась,Rome wasn't built in a day!
нужда заставляет,necessity is the mother of invention
плечом к плечу,neck and neck
цыплят по осени считают,don't count your chickens before they've hatched
"Не имей сто рублей, а имей Сто друзей",better 100 friends than 100 rubles
"Береги честь смолоду, а платье снову","Watch over your clothes while they are new, and over your honour while you are young."
утро вечера мудренее,"tomorrow is another day, take counsel of one's pillow"
тянуть кота за хвост,to draw something out for a long time
бьется как рыба об лед,"do something without a result, it's pointless"
стучаться в закрытую дверь,"knock on a locked door, there's no point to it"
чесать репу,"to wonder, think, scratch your head about"
рыба тухнет с головы,A fish rots from the head down (the root of the problem is the leadership)
грызть гранит науки,grind away at your books; burn the midnight oil
менять шило на мыло,to trade bad for worse
и так и сяк,"this way and that, that way and every way"
затаить дыхание,to hold one's breathe (bated breathe)
для красного словца,for effect (to say something for effect)
дешево отделаться,"to get off lightly, a narrow escape"
Подловили!,Oh you got me (tricked min the joke)
Не поднимай кипиш,"don't cause a commotion, stir up a fuss, rock the boat"
семь раз отмерь один раз отрежь,"look before you leap (measure seven times, but cut once)"
