Idioms,Meanings
a (la) merced de,at the mercy of (n.b.: the “la” is often omitted)
a altas horas de la madrugada,in the small hours of the morning
a cargo de,in charge of; responsible for; by
a causa de,because of; as a result of (lit.: at the cause of)
a chorros,in abundance; plenty; lots
a contrapelo,wrong way; backwards; backassed
a corto plazo,in the short run; short-term; in the short term (lit.: at short place)
a deshora,at an inconvenient time
a diario,daily; every day
a disgusto,reluctantly
a duras penas,hardly; barely; with difficulty
a eso de,"around, about (time) (lit.: a this of)"
a estas alturas,at this point; in this situation
a fin de cuentas,in the end; after all
a fondo,in depth; deeply; fully
a gatas,crawling (lit.: on legs/feet; used with the verbs estar or andar)
a juro,no matter what (used in Venezuela)
a la altura,at the level; up to (lit.: at the height)
a la intemperie,"in the open (lit.: at/on the elements. Intemperie refers to the weather and other forces in the physical, natural world, particularly as experienced without the benefits of technology, particularly modern technology)"
a la par de,on the same level as
a la salida del sol,sunrise (lit.: at the appearance of the sun)
a la vez,at once; at the same time (lit.: at the time)
a la vista,in view; in sight (lit.: at the sight)
a la vuelta,on the way back (lit: at the turn)
a la vuelta de,just around the corner (lit.: at the turn of). 1. Mi restaurante favorito está justo a la vuelta de mi oficina.
a largo plazo,in the long run; long-term; in the long term (lit.: at long place)
a lo largo (de),along; at the other end (lit.: at the far/long)
a lo lejos,from afar; at a distance (lit.: at the distant; allso in the form “a los lejos.”)
a lo mejor,probably; most likely (lit.: to the better)
a manos de,at the hands of
a manos llenas,generously; lavishly (lit.: with full hands)
a medida que,as (something happens or happened); in the process of (something happening)
a medio plazo,medium-term; in the medium term
a menudo,"often, frequently (lit.: of often)"
a mi modo de pensar,in my view; the way I see it
a mi modo de ver,in my view; the way I see it
a otro perro con ese hueso,go tell it to the marines (lit.: [give] this bone to another dog)
a palo seco,on its own; with nothing else
a partir de ahora,from now one (lit.: at the start of now)
a pesar de,despite; in spite of
a plazo,on credit
a plena luz,in broad daylight
a primera hora,at the earliest moment
a primera vista,at first sight; at first blush (lit.: at first sight)
a propósito,on purpose; deliberately
a propósito,by the way; speaking of which
a punto de,"on the verge of, about to (lit.: at point of)"
a que,I bet (lit.: to what)
a ratos,from time to time
a sus espaldas,behind someone's back
a tientas,"by touch, by feel"
a toda costa,at all costs (lit.: at all cost)
