Idioms,Meanings
inte en kotte,"not anyone, not a single one, not a soul"
lagom är bäst,"""Just right"" is best!, everything in moderation"
stor i orden,all hot air
att tala om trollen,to speak of the devil
att hålla tummarna,"to cross one's fingers, to wish for luck"
en droppe i havet,"a drop in the bucket, something very insignificant"
kråkfötter,"scrawl, bad penmanship (difficult to read)"
att ta tjuren vid hornen,"to grasp the nettle, to confront a difficulty"
över min döda kropp,over my dead body
att måla fan på väggen,assuming the worst is going to happen; presenting a situation as being worse than it actually is
ingen ko på isen,no immediate danger
att se genom fingrarna,to turn a blind eye
"att stiga upp på fel sida, att vakna på fel sida",to get up on the wrong side of the bed
"att falla mellan två stolar, att sitta mellan två stolar","to fall through the cracks, to be outside of everyone's responsibility"
att lägga benen på ryggen,to flee the scene; to run for it
att stå som spön i backen,to rain very heavily
att ha tomtar på loftet,to be not quite right in the head
att inte ha en susning,"to not to have a clue, to be out of touch with reality"
att ha en gås oplockad,to have a bone to pick
att trilla av pinnen,"to become unconscious, to drop dead"
lätt som en plätt,easy as pie
att ana ugglor i mossen,to suspect something fishy is going on
det är rena grekiskan,it's all Greek to me
att kasta in handduken,"to throw in the towel, to give up"
att ha en räv bakom örat,to be cunning
att sitta med skägget i brevlådan,to be in a bad situation and have to deal with the consequences
nu blir det andra bullar,now the gloves are off
att glida in på en räkmacka,to have it easy
att lägga rabarber på,"to appropriate, to get one's hands on"
att skita i det blåa skåpet,to cross the line; to piss somebody off once too often
att höra via djungeltrumman,to hear through the grapevine
att ha millimetrarna på sin sida,"to have luck on your side, to be lucky"
att lägga en pizza,to vomit (slang)
att göra en höna av en fjäder,"to ""improve"" on a story or a rumor until it no longer resembles the original truth; to exaggerate greatly"
att låtsas som att det regnar,"to behave normally as not to attract attention, especially when one has something to hide; to make a point of being inconspicuous"
mycket snack och lite verkstad,"people talk, but never come to any action"
att skilja agnarna från vetet,to separate the wheat from the chaff
att slå två flugor i en smäll,to kill two birds with one stone
när katten är borta dansar råttorna på bordet,when the cat’s away the mice will play
att gå som katten kring het gröt,to beat around the bush
din lyckans ost,you lucky dog
att lägga lök på laxen,to make things even worse
klart som korvspad,"very easily understood, obvious"
att lägga två strån i kors,to give a minimum amount of attention or support
att köpa grisen i säcken,to buy a pig in a poke
smaken är som baken,there's no accounting for taste
att välja mellan pest och kolera,to be between a rock and a hard place
att koka soppa på en spik,to accomplish or produce something through minimal means
att inte vara värd ett ruttet lingon,to be worthless
att prata persilja,to speak nonsense
att ha ätit citron,to be grumpy
lugn som en filbunke,cool as a cucumber
på ett bananskal,by happenstance
platt som en pannkaka,flat as a pancake
nu är det kokta fläsket stekt,"Now you've done it!, you're in deep trouble now"
att ha satt sin sista potatis,to have wasted one's last chance
att salta räkningen,"to inflate the bill, to demand more pay than reasonable"
att bita i det sura äpplet,to accept unpleasant circumstances/consequences
det blir pannkaka,it failed
falsk som vatten,completely untrustworthy
att hålla ett öga på,"to keep an eye on, to keep track of"
i ett nötskal,in a nutshell
ingen fara på taket,there is no immediate danger
att kasta handsken,to throw down the gauntlet
att bränna sina broar,to burn one's bridges
först till kvarn får först mala,"first come, first served"
att ge järnet,"to give 110%, to make the maximum possible effort"
att gå den breda vägen,to choose the easiest option
att strö salt i såren,"to rub salt in the wound, to add insult to injury"
att vara ute och cykla,to be utterly confused; to have misunderstood something
att såga av den gren man själv sitter på,to cut off one's nose to spite one's face
lika som bär,the spitting image of each other
av samma skrot och korn,birds of one feather
att ge igen för gammal ost,"to get one's own back, to take revenge"
att gå som smort,to be walk in the park
